"	datetime	price",,,,
"425	2021-12-18T16:00:00.000Z	48.99",,,,
"426	2021-12-19T00:00:00.000Z	48.99",,,,
"427	2021-12-19T08:00:00.000Z	49.5299",,,,
"428	2021-12-19T16:00:00.000Z	49.9669",,,,
"429	2021-12-20T00:00:00.000Z	50.69",,,,
"430	2021-12-20T08:00:00.000Z	51.2306",,,,
"431	2021-12-20T16:00:00.000Z	51.1",,,,
"432	2021-12-21T00:00:00.000Z	51.0187",,,,
"433	2021-12-21T08:00:00.000Z	51.0",,,,
"434	2021-12-21T16:00:00.000Z	51.0823",,,,
"435	2021-12-22T00:00:00.000Z	51.893",,,,
"436	2021-12-22T08:00:00.000Z	51.9",,,,
"437	2021-12-22T16:00:00.000Z	52.345",,,,
"438	2021-12-23T00:00:00.000Z	52.6722",,,,
"439	2021-12-23T08:00:00.000Z	51.879",,,,
"440	2021-12-23T16:00:00.000Z	52.2",,,,
"441	2021-12-24T00:00:00.000Z	51.8667",,,,
"442	2021-12-24T08:00:00.000Z	53.4256",,,,
"443	2021-12-24T16:00:00.000Z	53.89",,,,
"444	2021-12-25T00:00:00.000Z	54.19",,,,
"445	2021-12-25T08:00:00.000Z	54.1875",,,,
"446	2021-12-25T16:00:00.000Z	54.6146",,,,
"447	2021-12-26T00:00:00.000Z	55.17",,,,
"448	2021-12-26T08:00:00.000Z	55.95",,,,
"449	2021-12-26T16:00:00.000Z	55.9944",,,,
"450	2021-12-27T00:00:00.000Z	58.6318",,,,
"451	2021-12-27T08:00:00.000Z	58.9894",,,,
"452	2021-12-27T16:00:00.000Z	59.0",,,,
"453	2021-12-28T00:00:00.000Z	59.0",,,,
"454	2021-12-28T08:00:00.000Z	59.0",,,,
"455	2021-12-28T16:00:00.000Z	59.2625",,,,
"456	2021-12-29T00:00:00.000Z	59.9155",,,,
"457	2021-12-29T08:00:00.000Z	59.3943",,,,
"458	2021-12-29T16:00:00.000Z	58.5",,,,
"459	2021-12-30T00:00:00.000Z	58.8529",,,,
"460	2021-12-30T08:00:00.000Z	59.1579",,,,
"461	2021-12-30T16:00:00.000Z	59.8605",,,,
"462	2021-12-31T00:00:00.000Z	59.9233",,,,
"463	2021-12-31T08:00:00.000Z	59.97",,,,
"464	2021-12-31T16:00:00.000Z	59.7694",,,,
"465	2022-01-01T00:00:00.000Z	60.0",,,,
"466	2022-01-01T08:00:00.000Z	63.635",,,,
"467	2022-01-01T16:00:00.000Z	66.1667",,,,
"468	2022-01-02T00:00:00.000Z	67.6269",,,,
"469	2022-01-02T08:00:00.000Z	67.7529",,,,
"470	2022-01-02T16:00:00.000Z	68.0189",,,,
"471	2022-01-03T00:00:00.000Z	71.4824",,,,
"472	2022-01-03T08:00:00.000Z	71.6744",,,,
"473	2022-01-03T16:00:00.000Z	73.9988",,,,
"474	2022-01-04T00:00:00.000Z	73.4394",,,,
"475	2022-01-04T08:00:00.000Z	71.5",,,,
"476	2022-01-04T16:00:00.000Z	72.2624",,,,
"477	2022-01-05T00:00:00.000Z	70.94",,,,
"478	2022-01-05T08:00:00.000Z	69.405",,,,
"479	2022-01-05T16:00:00.000Z	69.5",,,,
